"accuracy","f1","precision","recall"
"0.35714285714285715","0.40379583952339376","0.38317460317460317","0.34444444444444444"
"0.44047619047619047","0.48083038478549317","0.472056277056277","0.4027777777777778"
"0.40476190476190477","0.3987269455690508","0.4332598039215686","0.4416666666666666"
"0.36904761904761907","0.35051502419149483","0.3641269841269842","0.325"
"0.36904761904761907","0.4132352941176471","0.47739010989010994","0.42777777777777776"
"0.38095238095238093","0.38920706744236155","0.38715728715728714","0.4305555555555555"
"0.36904761904761907","0.3531315373652835","0.48071428571428576","0.45138888888888895"
"0.4642857142857143","0.4044322344322344","0.43207264957264957","0.40972222222222215"
"0.34523809523809523","0.35691417457671326","0.4218803418803419","0.3597222222222222"
"0.34523809523809523","0.366203007518797","0.3613919413919414","0.44305555555555554"
"0.3253012048192771","0.44442036463708295","0.3698717948717949","0.3916666666666666"
"0.4457831325301205","0.39585695006747634","0.30421106671106674","0.3375"
"0.2891566265060241","0.4523463163943039","0.33905483405483405","0.42222222222222217"
"0.3855421686746988","0.34655639252388476","0.3181393606393606","0.3472222222222222"
"0.25301204819277107","0.43749551102492273","0.36770923520923515","0.35277777777777775"
"0.43373493975903615","0.4793733330652836","0.4687806637806638","0.4375"
"0.42168674698795183","0.5425396825396824","0.46363636363636357","0.4083333333333333"
"0.3132530120481928","0.3808874458874459","0.3873268398268398","0.35694444444444445"
"0.40963855421686746","0.38471843504755066","0.35134920634920636","0.3625"
"0.40963855421686746","0.371860410830999","0.3625541125541125","0.38194444444444436"
"0.3493975903614458","0.4224908424908425","0.4403535353535354","0.45138888888888895"
"0.3493975903614458","0.273514733124371","0.2830663780663781","0.44305555555555554"
"0.42168674698795183","0.33658496732026144","0.4882539682539683","0.3930555555555556"
"0.37349397590361444","0.4573285486443381","0.37955100455100454","0.4416666666666666"
"0.4578313253012048","0.35043601651186795","0.4262445887445887","0.46805555555555556"
"0.4578313253012048","0.5210104919160646","0.4798701298701299","0.5347222222222221"
"0.30120481927710846","0.41457467197405273","0.4341666666666667","0.4541666666666666"
"0.39759036144578314","0.5019210639721476","0.32696969696969697","0.3944444444444445"
"0.3855421686746988","0.3565287275503993","0.37011904761904757","0.4111111111111111"
"0.37349397590361444","0.36806794512676866","0.45690476190476187","0.44027777777777777"
